,Date,volume
1127,2012/02/04,7080
1128,2012/02/05,6632
1129,2012/02/06,5990
1130,2012/02/07,6875
1131,2012/02/08,6879
1132,2012/02/09,7343
1133,2012/02/10,8318
1134,2012/02/11,7529
1135,2012/02/12,6872
1136,2012/02/13,7855
1137,2012/02/14,9351
1138,2012/02/15,9203
1139,2012/02/16,9399
1140,2012/02/17,6626
1141,2012/02/18,6345
1142,2012/02/19,5800
1143,2012/02/20,6199
1144,2012/02/21,6291
1145,2012/02/22,7035
1146,2012/02/23,7848
1147,2012/02/24,6781
1148,2012/02/25,6141
1149,2012/02/26,5671
1150,2012/02/27,6581
1151,2012/02/28,6565
1152,2012/02/29,6540
1153,2012/03/01,6660
1154,2012/03/02,7511
1155,2012/03/03,5074
1156,2012/03/04,6454
1157,2012/03/05,6834
1158,2012/03/06,6231
1159,2012/03/07,6481
1160,2012/03/08,6481
1161,2012/03/09,6334
1162,2012/03/10,5205
1163,2012/03/11,5089
1164,2012/03/12,5975
1165,2012/03/13,7235
1166,2012/03/14,6758
1167,2012/03/15,6163
1168,2012/03/16,6782
1169,2012/03/17,6706
1170,2012/03/18,5879
1171,2012/03/19,6509
1172,2012/03/20,6674
1173,2012/03/21,6842
1174,2012/03/22,6429
1175,2012/03/23,6030
1176,2012/03/24,6191
1177,2012/03/25,6055
1178,2012/03/26,6468
1179,2012/03/27,6510
1180,2012/03/28,7089
1181,2012/03/29,7377
1182,2012/03/30,6674
1183,2012/03/31,6022
1184,2012/04/01,5421
1185,2012/04/02,6356
1186,2012/04/03,7606
1187,2012/04/04,7006
1188,2012/04/05,6911
1189,2012/04/06,6563
1190,2012/04/07,5951
1191,2012/04/08,5765
1192,2012/04/09,6471
1193,2012/04/10,8321
1194,2012/04/11,7717
1195,2012/04/12,8163
1196,2012/04/13,6918
1197,2012/04/14,7888
1198,2012/04/15,7264
1199,2012/04/16,8427
1200,2012/04/17,7670
1201,2012/04/18,8450
1202,2012/04/19,7743
1203,2012/04/20,8131
1204,2012/04/21,7047
1205,2012/04/22,6214
1206,2012/04/23,6969
